stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2
dongsi_aq,2018/3/31 7:00,105,172,53,0.8,127,14
tiantan_aq,2018/3/31 7:00,95,123,54,0.9,121,15
guanyuan_aq,2018/3/31 7:00,95,139,66,0.8,123,13
wanshouxigong_aq,2018/3/31 7:00,99,172,58,1,119,14
aotizhongxin_aq,2018/3/31 7:00,117,166,67,0.8,111,14
nongzhanguan_aq,2018/3/31 7:00,100,150,62,0.8,127,15
wanliu_aq,2018/3/31 7:00,95,139,82,1,104,13
beibuxinqu_aq,2018/3/31 7:00,104,236,75,0.9,98,9
zhiwuyuan_aq,2018/3/31 7:00,,,,,,
fengtaihuayuan_aq,2018/3/31 7:00,111,162,65,0.9,119,13
yungang_aq,2018/3/31 7:00,106,171,68,0.9,117,13
gucheng_aq,2018/3/31 7:00,133,193,79,0.9,110,10
fangshan_aq,2018/3/31 7:00,102,188,66,0.7,131,13
daxing_aq,2018/3/31 7:00,92,156,43,0.8,139,14
yizhuang_aq,2018/3/31 7:00,90,148,42,0.9,153,18
tongzhou_aq,2018/3/31 7:00,105,146,38,0.7,138,16
shunyi_aq,2018/3/31 7:00,104,143,52,1,142,16
pingchang_aq,2018/3/31 7:00,85,133,52,0.9,117,12
mentougou_aq,2018/3/31 7:00,96,169,75,0.8,120,11
pinggu_aq,2018/3/31 7:00,,,,,,
huairou_aq,2018/3/31 7:00,86,125,52,0.8,124,12
miyun_aq,2018/3/31 7:00,80,125,37,0.7,159,10
yanqin_aq,2018/3/31 7:00,54,259,15,0.4,121,5
dingling_aq,2018/3/31 7:00,82,142,45,0.9,130,10
badaling_aq,2018/3/31 7:00,,,,,,
miyunshuiku_aq,2018/3/31 7:00,92,133,27,0.7,169,9
donggaocun_aq,2018/3/31 7:00,136,150,49,1.5,143,33
yongledian_aq,2018/3/31 7:00,106,172,52,1.2,170,16
yufa_aq,2018/3/31 7:00,121,183,53,0.8,141,17
liulihe_aq,2018/3/31 7:00,105,163,45,0.8,137,6
qianmen_aq,2018/3/31 7:00,107,153,64,0.9,120,17
yongdingmennei_aq,2018/3/31 7:00,100,134,69,0.9,129,21
xizhimenbei_aq,2018/3/31 7:00,114,147,89,0.9,95,17
nansanhuan_aq,2018/3/31 7:00,94,137,94,1,94,16
dongsihuan_aq,2018/3/31 7:00,97,138,89,1,97,15
dongsi_aq,2018/3/31 8:00,99,171,41,0.8,148,13
tiantan_aq,2018/3/31 8:00,103,140,40,0.8,143,14
guanyuan_aq,2018/3/31 8:00,105,153,58,0.8,140,13
wanshouxigong_aq,2018/3/31 8:00,108,219,51,0.9,135,13
aotizhongxin_aq,2018/3/31 8:00,109,161,57,0.8,126,14
nongzhanguan_aq,2018/3/31 8:00,94,167,49,0.8,149,14
wanliu_aq,2018/3/31 8:00,103,158,76,0.9,116,13
beibuxinqu_aq,2018/3/31 8:00,118,,80,0.9,99,9
zhiwuyuan_aq,2018/3/31 8:00,,,,,,
fengtaihuayuan_aq,2018/3/31 8:00,103,166,48,0.8,146,12
yungang_aq,2018/3/31 8:00,114,177,54,0.8,145,13
gucheng_aq,2018/3/31 8:00,154,193,68,0.8,126,10
fangshan_aq,2018/3/31 8:00,101,192,46,0.6,163,13
daxing_aq,2018/3/31 8:00,95,164,42,0.8,146,13
yizhuang_aq,2018/3/31 8:00,93,150,41,0.8,161,15
tongzhou_aq,2018/3/31 8:00,98,162,36,0.8,149,17
shunyi_aq,2018/3/31 8:00,102,156,58,1,137,16
pingchang_aq,2018/3/31 8:00,98,147,68,0.9,109,12
mentougou_aq,2018/3/31 8:00,97,166,61,0.8,140,11
pinggu_aq,2018/3/31 8:00,120,182,41,1.5,167,2
huairou_aq,2018/3/31 8:00,91,146,62,0.9,114,14
miyun_aq,2018/3/31 8:00,87,150,41,0.8,177,14
yanqin_aq,2018/3/31 8:00,51,257,17,0.4,122,5
dingling_aq,2018/3/31 8:00,94,145,61,1,123,12
badaling_aq,2018/3/31 8:00,,,,,,
miyunshuiku_aq,2018/3/31 8:00,97,151,35,0.7,175,11
donggaocun_aq,2018/3/31 8:00,129,159,42,1.5,166,28
yongledian_aq,2018/3/31 8:00,118,180,47,1.3,179,18
yufa_aq,2018/3/31 8:00,146,204,45,0.9,164,19
liulihe_aq,2018/3/31 8:00,120,185,52,0.9,140,
qianmen_aq,2018/3/31 8:00,112,159,55,0.8,139,16
yongdingmennei_aq,2018/3/31 8:00,107,149,64,0.9,146,21
xizhimenbei_aq,2018/3/31 8:00,115,156,88,0.9,102,18
nansanhuan_aq,2018/3/31 8:00,99,150,90,0.9,106,15
dongsihuan_aq,2018/3/31 8:00,96,133,68,0.9,126,14
dongsi_aq,2018/3/31 9:00,104,173,39,0.8,157,12
tiantan_aq,2018/3/31 9:00,95,145,39,0.8,147,12
guanyuan_aq,2018/3/31 9:00,94,158,47,0.7,159,12
wanshouxigong_aq,2018/3/31 9:00,99,190,51,0.9,137,11
aotizhongxin_aq,2018/3/31 9:00,119,181,58,0.7,133,13
nongzhanguan_aq,2018/3/31 9:00,100,162,44,0.8,161,12
