id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2980733,dongsi_aq,2018-05-01 00:00:00,93.0,564.0,24.0,0.3,57.0,2.0
2980734,tiantan_aq,2018-05-01 00:00:00,88.0,688.0,35.0,0.4,48.0,2.0
2980735,guanyuan_aq,2018-05-01 00:00:00,98.0,680.0,33.0,0.4,50.0,2.0
2980736,wanshouxigong_aq,2018-05-01 00:00:00,82.0,719.0,28.0,0.5,55.0,2.0
2980737,aotizhongxin_aq,2018-05-01 00:00:00,81.0,469.0,32.0,0.4,45.0,2.0
2980738,nongzhanguan_aq,2018-05-01 00:00:00,64.0,526.0,47.0,0.5,26.0,2.0
2980739,wanliu_aq,2018-05-01 00:00:00,104.0,814.0,27.0,0.3,49.0,5.0
2980740,beibuxinqu_aq,2018-05-01 00:00:00,134.0,944.0,24.0,0.5,51.0,2.0
2980741,zhiwuyuan_aq,2018-05-01 00:00:00,,,,,,
2980742,fengtaihuayuan_aq,2018-05-01 00:00:00,106.0,810.0,34.0,0.5,46.0,2.0
2980743,yungang_aq,2018-05-01 00:00:00,70.0,455.0,23.0,0.5,43.0,2.0
2980744,gucheng_aq,2018-05-01 00:00:00,141.0,612.0,24.0,0.4,52.0,2.0
2980745,fangshan_aq,2018-05-01 00:00:00,72.0,580.0,45.0,0.5,42.0,3.0
2980746,daxing_aq,2018-05-01 00:00:00,117.0,653.0,33.0,0.1,52.0,3.0
2980747,yizhuang_aq,2018-05-01 00:00:00,48.0,222.0,59.0,0.6,22.0,3.0
2980748,tongzhou_aq,2018-05-01 00:00:00,41.0,95.0,41.0,0.5,36.0,4.0
2980749,shunyi_aq,2018-05-01 00:00:00,47.0,111.0,22.0,0.9,52.0,4.0
2980750,pingchang_aq,2018-05-01 00:00:00,54.0,454.0,14.0,0.2,69.0,2.0
2980751,mentougou_aq,2018-05-01 00:00:00,69.0,720.0,26.0,0.4,61.0,3.0
2980752,pinggu_aq,2018-05-01 00:00:00,38.0,90.0,30.0,0.7,42.0,2.0
2980753,huairou_aq,2018-05-01 00:00:00,34.0,160.0,23.0,0.7,41.0,2.0
2980754,miyun_aq,2018-05-01 00:00:00,75.0,572.0,8.0,0.4,74.0,2.0
2980755,yanqin_aq,2018-05-01 00:00:00,138.0,999.0,36.0,0.5,25.0,2.0
2980756,dingling_aq,2018-05-01 00:00:00,71.0,323.0,11.0,0.2,75.0,2.0
2980757,badaling_aq,2018-05-01 00:00:00,82.0,766.0,28.0,0.4,56.0,3.0
2980758,miyunshuiku_aq,2018-05-01 00:00:00,88.0,574.0,3.0,0.2,85.0,2.0
2980759,donggaocun_aq,2018-05-01 00:00:00,30.0,81.0,19.0,0.4,59.0,3.0
2980760,yongledian_aq,2018-05-01 00:00:00,48.0,127.0,76.0,0.9,15.0,5.0
2980761,yufa_aq,2018-05-01 00:00:00,63.0,185.0,61.0,0.6,22.0,2.0
2980762,liulihe_aq,2018-05-01 00:00:00,66.0,145.0,37.0,0.6,26.0,2.0
2980763,qianmen_aq,2018-05-01 00:00:00,81.0,581.0,34.0,0.3,56.0,2.0
2980764,yongdingmennei_aq,2018-05-01 00:00:00,78.0,645.0,60.0,0.5,57.0,5.0
2980765,xizhimenbei_aq,2018-05-01 00:00:00,242.0,648.0,46.0,0.4,38.0,3.0
2980766,nansanhuan_aq,2018-05-01 00:00:00,56.0,686.0,48.0,0.3,40.0,2.0
2980767,dongsihuan_aq,2018-05-01 00:00:00,55.0,349.0,65.0,0.5,16.0,5.0
2980789,dongsi_aq,2018-05-01 01:00:00,79.0,438.0,22.0,0.3,62.0,2.0
2980790,tiantan_aq,2018-05-01 01:00:00,68.0,489.0,25.0,0.4,62.0,2.0
2980791,guanyuan_aq,2018-05-01 01:00:00,45.0,411.0,18.0,0.3,77.0,2.0
2980792,wanshouxigong_aq,2018-05-01 01:00:00,59.0,535.0,18.0,0.4,73.0,2.0
2980793,aotizhongxin_aq,2018-05-01 01:00:00,73.0,302.0,15.0,0.3,69.0,2.0
2980794,nongzhanguan_aq,2018-05-01 01:00:00,62.0,468.0,27.0,0.4,50.0,2.0
2980795,wanliu_aq,2018-05-01 01:00:00,47.0,500.0,14.0,0.1,77.0,4.0
2980796,beibuxinqu_aq,2018-05-01 01:00:00,87.0,678.0,16.0,0.4,66.0,2.0
2980797,zhiwuyuan_aq,2018-05-01 01:00:00,,,,,,
2980798,fengtaihuayuan_aq,2018-05-01 01:00:00,91.0,620.0,19.0,0.3,73.0,2.0
2980799,yungang_aq,2018-05-01 01:00:00,87.0,740.0,14.0,0.3,64.0,2.0
2980800,gucheng_aq,2018-05-01 01:00:00,132.0,604.0,20.0,0.4,61.0,2.0
2980801,fangshan_aq,2018-05-01 01:00:00,161.0,962.0,25.0,0.4,67.0,2.0
