id,station_id,time,weather,temperature,pressure,humidity,wind_direction,wind_speed
2134981,beijing_grid_000,2018-04-04 00:00:00,PARTLY_CLOUDY_DAY,6.0,989.3378,42.0,52.79,9.92
2134982,beijing_grid_001,2018-04-04 00:00:00,PARTLY_CLOUDY_DAY,6.0,975.0018,43.0,63.74,8.94
2134983,beijing_grid_002,2018-04-04 00:00:00,PARTLY_CLOUDY_DAY,2.0,960.6658,44.0,76.78,8.36
2134984,beijing_grid_003,2018-04-04 00:00:00,PARTLY_CLOUDY_DAY,2.0,944.253,46.0,94.7,7.96
2134985,beijing_grid_004,2018-04-04 00:00:00,PARTLY_CLOUDY_DAY,2.0,925.7634,51.0,116.73,8.3
2134986,beijing_grid_005,2018-04-04 00:00:00,CLOUDY,2.0,907.2738,55.0,134.67,9.7
2134987,beijing_grid_006,2018-04-04 00:00:00,CLOUDY,2.0,887.7474,62.0,142.72,10.72
2134988,beijing_grid_007,2018-04-04 00:00:00,CLOUDY,2.0,868.221,69.0,149.27,11.92
2134989,beijing_grid_008,2018-04-04 00:00:00,CLOUDY,1.4,860.0482,73.0,149.87,13.15
2134990,beijing_grid_009,2018-04-04 00:00:00,PARTLY_CLOUDY_DAY,1.4,863.229,75.0,146.05,14.37
2134991,beijing_grid_010,2018-04-04 00:00:00,PARTLY_CLOUDY_DAY,3.0,866.4098,77.0,142.84,15.64
2134992,beijing_grid_011,2018-04-04 00:00:00,PARTLY_CLOUDY_DAY,3.0,877.8978,75.0,135.37,14.85
2134993,beijing_grid_012,2018-04-04 00:00:00,PARTLY_CLOUDY_DAY,3.0,889.3858,74.0,127.22,14.33
2134994,beijing_grid_013,2018-04-04 00:00:00,PARTLY_CLOUDY_DAY,3.0,900.7778,71.0,119.11,14.47
2134995,beijing_grid_014,2018-04-04 00:00:00,PARTLY_CLOUDY_DAY,3.0,912.0738,67.0,111.93,15.23
2134996,beijing_grid_015,2018-04-04 00:00:00,PARTLY_CLOUDY_DAY,3.0,923.3698,63.0,105.51,16.2
2134997,beijing_grid_016,2018-04-04 00:00:00,PARTLY_CLOUDY_DAY,3.0,923.0626,60.0,106.23,16.89
2134998,beijing_grid_017,2018-04-04 00:00:00,PARTLY_CLOUDY_DAY,3.0,922.7554,57.0,106.9,17.58
2134999,beijing_grid_018,2018-04-04 00:00:00,PARTLY_CLOUDY_DAY,2.0,913.4338,58.0,110.97,16.87
2135000,beijing_grid_019,2018-04-04 00:00:00,PARTLY_CLOUDY_DAY,2.0,895.0978,63.0,119.97,15.02
2135001,beijing_grid_020,2018-04-04 00:00:00,PARTLY_CLOUDY_DAY,2.0,876.7618,68.0,131.13,13.65
2135002,beijing_grid_021,2018-04-04 00:00:00,PARTLY_CLOUDY_DAY,6.0,998.8738,43.0,39.4,9.59
