Station_ID,MeasurementDateGMT,PM2.5 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),,
LH0,2017/1/1 0:00,30.2,34.6,15.9,,
LH0,2017/1/1 1:00,25.4,29.2,11.8,,
LH0,2017/1/1 2:00,24.7,28.1,11.6,,
LH0,2017/1/1 3:00,23.6,27,13,,
LH0,2017/1/1 4:00,24.2,27.4,27.1,,
LH0,2017/1/1 5:00,22.8,26,22.9,,
LH0,2017/1/1 6:00,21.6,24.8,26.8,,
LH0,2017/1/1 7:00,19.9,23.1,39.4,,
LH0,2017/1/1 8:00,18.3,21.3,41.6,,
LH0,2017/1/1 9:00,16.3,19.5,44.1,,
LH0,2017/1/1 10:00,13.3,16.2,49.1,,
LH0,2017/1/1 11:00,9.4,11.6,45.2,,
LH0,2017/1/1 12:00,6.1,8.5,41.4,,
LH0,2017/1/1 13:00,6.7,13.4,53.6,,
LH0,2017/1/1 14:00,2.1,4.6,11.7,,
LH0,2017/1/1 15:00,0.9,2,12.1,,
LH0,2017/1/1 16:00,1.1,2.1,12,,
LH0,2017/1/1 17:00,1,2,13.5,,
LH0,2017/1/1 18:00,1.5,2.5,14.6,,
LH0,2017/1/1 19:00,2.1,3.6,14.7,,
LH0,2017/1/1 20:00,2.9,4.8,15.5,,
LH0,2017/1/1 21:00,4.5,6.9,14,,
LH0,2017/1/1 22:00,4.9,7.8,11.6,,
LH0,2017/1/1 23:00,5.9,9.3,11.8,,
LH0,2017/1/2 0:00,5.1,8.4,9.6,,
LH0,2017/1/2 1:00,4.5,7.7,6.9,,
LH0,2017/1/2 2:00,4.3,7.7,7.3,,
LH0,2017/1/2 3:00,4.9,8.4,6.5,,
LH0,2017/1/2 4:00,6.7,10.8,7.1,,
LH0,2017/1/2 5:00,7,13.1,15.3,,
LH0,2017/1/2 6:00,6.3,12.8,20.6,,
LH0,2017/1/2 7:00,6.1,11.7,23.3,,
LH0,2017/1/2 8:00,6.6,13.4,33.1,,
LH0,2017/1/2 9:00,6,11.8,24.9,,
LH0,2017/1/2 10:00,5.9,11.3,18.6,,
LH0,2017/1/2 11:00,6.1,11.3,16.6,,
LH0,2017/1/2 12:00,6,11.9,16.1,,
LH0,2017/1/2 13:00,5.8,12.8,20.7,,
LH0,2017/1/2 14:00,6,13.1,24,,
LH0,2017/1/2 15:00,5.4,12.2,32.2,,
LH0,2017/1/2 16:00,11.2,18,74.4,,
LH0,2017/1/2 17:00,10.9,16.8,76.3,,
LH0,2017/1/2 18:00,10.3,16.2,67.5,,
LH0,2017/1/2 19:00,12,18,72.4,,
LH0,2017/1/2 20:00,16.6,22.1,76.6,,
LH0,2017/1/2 21:00,13.6,18.4,72.1,,
LH0,2017/1/2 22:00,13.7,17.7,63.3,,
LH0,2017/1/2 23:00,14,17.8,57.3,,
LH0,2017/1/3 0:00,13.9,17.8,59,,
LH0,2017/1/3 1:00,12.6,16.2,49.1,,
LH0,2017/1/3 2:00,12.3,15.9,47,,
LH0,2017/1/3 3:00,11.1,14.3,48.2,,
LH0,2017/1/3 4:00,8.9,12.2,45.1,,
LH0,2017/1/3 5:00,8,11.4,49.4,,
LH0,2017/1/3 6:00,7.3,10.3,48.4,,
LH0,2017/1/3 7:00,6.4,9.2,58.4,,
LH0,2017/1/3 8:00,6.1,9.3,63.8,,
LH0,2017/1/3 9:00,6.1,9,55,,
LH0,2017/1/3 10:00,5.8,8.6,45,,
LH0,2017/1/3 11:00,7.3,9.9,42.4,,
LH0,2017/1/3 12:00,6.5,9.1,36.3,,
LH0,2017/1/3 13:00,5,8.8,28.5,,
LH0,2017/1/3 14:00,4.6,9,32,,
LH0,2017/1/3 15:00,5.6,8,33.1,,
LH0,2017/1/3 16:00,7.1,10.2,50.5,,
LH0,2017/1/3 17:00,7.8,10.2,53.9,,
LH0,2017/1/3 18:00,8.9,11.6,52.8,,
LH0,2017/1/3 19:00,7.4,9.5,47.8,,
LH0,2017/1/3 20:00,6.2,8.2,37.1,,
LH0,2017/1/3 21:00,6.3,8.1,35.1,,
LH0,2017/1/3 22:00,6.3,7.8,32.7,,
LH0,2017/1/3 23:00,5.2,6.8,27.1,,
LH0,2017/1/4 0:00,4.8,6.2,20.1,,
LH0,2017/1/4 1:00,4.4,5.6,16.2,,
LH0,2017/1/4 2:00,3.8,4.9,13.1,,
LH0,2017/1/4 3:00,3.3,4.3,11.8,,
LH0,2017/1/4 4:00,3.5,4.8,14.3,,
LH0,2017/1/4 5:00,3.3,4.4,17.5,,
LH0,2017/1/4 6:00,3.3,4.6,33.2,,
LH0,2017/1/4 7:00,3.5,4.7,47.4,,
LH0,2017/1/4 8:00,3.8,5.1,50.3,,
LH0,2017/1/4 9:00,4,6.4,51.1,,
LH0,2017/1/4 10:00,4.4,7.1,45,,
LH0,2017/1/4 11:00,4.3,7.2,36.3,,
LH0,2017/1/4 12:00,5.4,9.9,22.2,,
LH0,2017/1/4 13:00,7.4,18.3,26.3,,
LH0,2017/1/4 14:00,6.6,15.6,20.3,,
LH0,2017/1/4 15:00,7.5,20.4,36.5,,
LH0,2017/1/4 16:00,8.9,25,69.1,,
LH0,2017/1/4 17:00,9.6,25.6,78,,
LH0,2017/1/4 18:00,10.8,23.9,85.8,,
LH0,2017/1/4 19:00,11.8,27.4,82.5,,
LH0,2017/1/4 20:00,11.3,26,80.4,,
LH0,2017/1/4 21:00,11.7,25.1,76.9,,
LH0,2017/1/4 22:00,10.1,18.7,70.6,,
LH0,2017/1/4 23:00,8.6,14.7,56.1,,
LH0,2017/1/5 0:00,8.7,13.9,57.9,,
LH0,2017/1/5 1:00,9.6,14.6,49,,
LH0,2017/1/5 2:00,8.8,14.8,44.4,,
LH0,2017/1/5 3:00,8.3,13.8,34.2,,
LH0,2017/1/5 4:00,8.2,12.4,40.1,,
LH0,2017/1/5 5:00,7.9,13,48.7,,
LH0,2017/1/5 6:00,8.1,13,59.6,,
LH0,2017/1/5 7:00,8.8,14.5,85,,
LH0,2017/1/5 8:00,10.8,18.3,129.5,,
LH0,2017/1/5 9:00,11.8,22.5,121.3,,
LH0,2017/1/5 10:00,11.7,20,90.9,,
LH0,2017/1/5 11:00,15.2,27.1,76.4,,
LH0,2017/1/5 12:00,12.3,22.5,59.6,,
LH0,2017/1/5 13:00,14,24.2,61.7,,
LH0,2017/1/5 14:00,14.5,26.1,70.1,,
LH0,2017/1/5 15:00,17.2,34.7,100.4,,
LH0,2017/1/5 16:00,22,59,97.1,,
LH0,2017/1/5 17:00,23.9,55.2,146.3,,
LH0,2017/1/5 18:00,27.4,43.3,153.1,,
LH0,2017/1/5 19:00,30.3,42.8,161.9,,
LH0,2017/1/5 20:00,34.6,50.2,163.9,,
LH0,2017/1/5 21:00,45.5,56.7,154,,
LH0,2017/1/5 22:00,42.9,52.9,146.3,,
LH0,2017/1/5 23:00,51.8,62.5,150.3,,
LH0,2017/1/6 0:00,49.9,60.7,160.2,,
LH0,2017/1/6 1:00,54.3,63.9,124.4,,
LH0,2017/1/6 2:00,52.2,60.5,118.4,,
LH0,2017/1/6 3:00,50.1,57.8,113.4,,
LH0,2017/1/6 4:00,49.7,58.5,106.6,,
LH0,2017/1/6 5:00,52.3,60.5,117.3,,
LH0,2017/1/6 6:00,49.1,57.5,128.4,,
LH0,2017/1/6 7:00,43.2,51,138,,
LH0,2017/1/6 8:00,36.7,45.8,128.8,,
LH0,2017/1/6 9:00,27.1,37.5,103.1,,
LH0,2017/1/6 10:00,20.6,29.8,83.2,,
LH0,2017/1/6 11:00,22.8,30,91.4,,
LH0,2017/1/6 12:00,20,25.7,78.7,,
LH0,2017/1/6 13:00,16.4,22.2,65.3,,
LH0,2017/1/6 14:00,16.4,22.5,66.3,,
LH0,2017/1/6 15:00,17.1,23.7,69.7,,
LH0,2017/1/6 16:00,16.1,21.1,72.1,,
LH0,2017/1/6 17:00,16.4,20.4,72.4,,
LH0,2017/1/6 18:00,14.1,16.9,69.8,,
LH0,2017/1/6 19:00,9.3,11.1,62.6,,
LH0,2017/1/6 20:00,9.7,11.5,57.5,,
LH0,2017/1/6 21:00,8.4,9.5,58.3,,
LH0,2017/1/6 22:00,7.3,8.6,56.2,,
LH0,2017/1/6 23:00,4.6,5.1,29.9,,
LH0,2017/1/7 0:00,3.9,4.5,18.9,,
LH0,2017/1/7 1:00,4.1,4.5,16.9,,
LH0,2017/1/7 2:00,4.1,4.7,15.7,,
LH0,2017/1/7 3:00,4.8,5.6,26.8,,
LH0,2017/1/7 4:00,5.3,6.3,36,,
LH0,2017/1/7 5:00,5.4,7.2,38.4,,
LH0,2017/1/7 6:00,7.7,14.5,37.4,,
LH0,2017/1/7 7:00,9,12.2,44,,
LH0,2017/1/7 8:00,9.6,12.8,47.6,,
LH0,2017/1/7 9:00,10.6,14,49.3,,
LH0,2017/1/7 10:00,10.2,13.8,45.1,,
LH0,2017/1/7 11:00,9.3,11.4,35.8,,
LH0,2017/1/7 12:00,8,11,39.4,,
LH0,2017/1/7 13:00,5.8,7.4,40.3,,
LH0,2017/1/7 14:00,4.9,6.9,51.5,,
LH0,2017/1/7 15:00,6.1,8.2,57.2,,
