id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2942386,CD1,2018-04-01 00:00:00,10.9,15.3,44.4,,,
2942387,BL0,2018-04-01 00:00:00,7.3,9.5,36.7,,,
2942388,GR4,2018-04-01 00:00:00,14.8,8.6,3.6,,,
2942389,MY7,2018-04-01 00:00:00,11.6,12.3,,,,
2942390,HV1,2018-04-01 00:00:00,7.8,9.0,9.5,,,
2942391,GN3,2018-04-01 00:00:00,10.7,13.2,21.6,,,
2942392,GR9,2018-04-01 00:00:00,7.5,14.5,19.4,,,
2942393,LW2,2018-04-01 00:00:00,12.8,12.6,41.5,,,
2942394,GN0,2018-04-01 00:00:00,12.0,18.6,42.8,,,
2942395,KF1,2018-04-01 00:00:00,8.2,10.0,,,,
2942396,CD9,2018-04-01 00:00:00,10.8,12.8,37.7,,,
2942397,CT3,2018-04-01 00:00:00,,13.6,16.0,,,
2942398,CT2,2018-04-01 00:00:00,11.0,,,,,
2942399,BX9,2018-04-01 00:00:00,9.2,,,,,
2942400,BX1,2018-04-01 00:00:00,,9.6,2.1,,,
2942401,TH4,2018-04-01 00:00:00,11.6,22.8,48.8,,,
2942402,ST5,2018-04-01 00:00:00,12.0,15.0,12.2,,,
2942403,RB7,2018-04-01 00:00:00,,10.0,14.9,,,
2942404,TD5,2018-04-01 00:00:00,7.2,,,,,
2942406,CD1,2018-04-01 01:00:00,10.6,13.5,49.0,,,
2942407,BL0,2018-04-01 01:00:00,6.9,11.7,42.5,,,
2942408,GR4,2018-04-01 01:00:00,6.1,14.7,5.5,,,
2942409,MY7,2018-04-01 01:00:00,8.8,12.4,,,,
2942410,HV1,2018-04-01 01:00:00,15.6,16.2,11.8,,,
2942411,GN3,2018-04-01 01:00:00,11.5,13.4,23.2,,,
2942412,GR9,2018-04-01 01:00:00,10.4,16.7,23.7,,,
2942413,LW2,2018-04-01 01:00:00,6.8,14.2,43.3,,,
2942414,GN0,2018-04-01 01:00:00,11.8,22.8,45.1,,,
2942415,KF1,2018-04-01 01:00:00,6.9,8.3,,,,
2942416,CD9,2018-04-01 01:00:00,12.1,14.7,38.9,,,
2942417,CT3,2018-04-01 01:00:00,,18.2,15.4,,,
2942418,CT2,2018-04-01 01:00:00,8.0,,,,,
2942419,BX9,2018-04-01 01:00:00,12.2,,,,,
2942420,BX1,2018-04-01 01:00:00,,11.8,5.0,,,
2942421,TH4,2018-04-01 01:00:00,11.4,23.8,53.0,,,
2942422,ST5,2018-04-01 01:00:00,9.0,10.0,11.2,,,
2942423,RB7,2018-04-01 01:00:00,,8.0,15.3,,,
2942424,TD5,2018-04-01 01:00:00,7.5,,,,,
2942462,CD1,2018-04-01 02:00:00,11.4,18.5,60.0,,,
2942463,BL0,2018-04-01 02:00:00,6.8,9.8,35.0,,,
2942464,GR4,2018-04-01 02:00:00,8.3,9.1,5.4,,,
2942465,MY7,2018-04-01 02:00:00,8.7,9.7,,,,
2942466,HV1,2018-04-01 02:00:00,7.1,10.4,13.9,,,
2942467,GN3,2018-04-01 02:00:00,11.7,14.0,25.8,,,
2942468,GR9,2018-04-01 02:00:00,11.3,17.5,30.4,,,
2942469,LW2,2018-04-01 02:00:00,13.4,15.6,43.3,,,
2942470,GN0,2018-04-01 02:00:00,11.9,18.7,52.9,,,
2942471,KF1,2018-04-01 02:00:00,6.7,8.2,,,,
2942472,CD9,2018-04-01 02:00:00,13.8,15.2,45.5,,,
2942473,CT3,2018-04-01 02:00:00,,18.8,14.7,,,
2942474,CT2,2018-04-01 02:00:00,12.0,,,,,
2942475,BX9,2018-04-01 02:00:00,9.8,,,,,
2942476,BX1,2018-04-01 02:00:00,,11.1,4.6,,,
2942477,TH4,2018-04-01 02:00:00,11.7,23.0,52.4,,,
2942478,ST5,2018-04-01 02:00:00,12.0,10.0,13.5,,,
2942479,RB7,2018-04-01 02:00:00,,6.2,13.6,,,
2942480,TD5,2018-04-01 02:00:00,7.9,,,,,
2942518,CD1,2018-04-01 03:00:00,13.8,16.0,65.3,,,
2942519,BL0,2018-04-01 03:00:00,7.1,11.9,34.4,,,
2942520,GR4,2018-04-01 03:00:00,11.7,9.9,7.2,,,
2942521,MY7,2018-04-01 03:00:00,8.0,11.1,,,,
2942522,HV1,2018-04-01 03:00:00,8.7,11.1,17.4,,,
2942523,GN3,2018-04-01 03:00:00,10.2,15.7,40.6,,,
2942524,GR9,2018-04-01 03:00:00,7.5,16.1,30.5,,,
2942525,LW2,2018-04-01 03:00:00,10.7,10.3,46.1,,,
2942526,GN0,2018-04-01 03:00:00,12.8,14.2,32.5,,,
2942527,KF1,2018-04-01 03:00:00,6.5,7.9,,,,
2942528,CD9,2018-04-01 03:00:00,10.9,13.0,47.5,,,
2942529,CT3,2018-04-01 03:00:00,,17.0,21.0,,,
2942530,CT2,2018-04-01 03:00:00,9.0,,,,,
2942531,BX9,2018-04-01 03:00:00,10.8,,,,,
2942532,BX1,2018-04-01 03:00:00,,11.2,4.7,,,
2942533,TH4,2018-04-01 03:00:00,10.7,24.2,65.7,,,
2942534,ST5,2018-04-01 03:00:00,9.0,7.0,13.8,,,
2942535,RB7,2018-04-01 03:00:00,,6.0,18.8,,,
2942536,TD5,2018-04-01 03:00:00,9.1,,,,,
2942574,CD1,2018-04-01 04:00:00,10.8,11.7,51.6,,,
2942575,BL0,2018-04-01 04:00:00,10.9,12.1,36.5,,,
2942576,GR4,2018-04-01 04:00:00,8.0,12.2,10.9,,,
2942577,MY7,2018-04-01 04:00:00,10.0,12.9,,,,
2942578,HV1,2018-04-01 04:00:00,8.2,13.8,35.1,,,
2942579,GN3,2018-04-01 04:00:00,11.5,16.0,39.5,,,
2942580,GR9,2018-04-01 04:00:00,10.1,15.9,35.8,,,
2942581,LW2,2018-04-01 04:00:00,10.2,10.7,34.8,,,
2942582,GN0,2018-04-01 04:00:00,11.9,11.1,27.2,,,
2942583,KF1,2018-04-01 04:00:00,6.0,7.6,,,,
2942584,CD9,2018-04-01 04:00:00,13.7,15.6,58.7,,,
2942585,CT3,2018-04-01 04:00:00,,15.2,26.0,,,
2942586,CT2,2018-04-01 04:00:00,10.0,,,,,
2942587,BX9,2018-04-01 04:00:00,9.9,,,,,
2942588,BX1,2018-04-01 04:00:00,,12.7,7.9,,,
2942589,TH4,2018-04-01 04:00:00,12.4,20.3,71.4,,,
2942590,ST5,2018-04-01 04:00:00,8.0,12.0,15.0,,,
2942591,RB7,2018-04-01 04:00:00,,9.8,20.1,,,
2942592,TD5,2018-04-01 04:00:00,5.9,,,,,
2942630,CD1,2018-04-01 05:00:00,10.1,12.3,48.9,,,
2942631,BL0,2018-04-01 05:00:00,5.2,8.0,34.2,,,
2942632,GR4,2018-04-01 05:00:00,10.9,13.6,12.1,,,
2942633,MY7,2018-04-01 05:00:00,13.2,11.9,,,,
2942634,HV1,2018-04-01 05:00:00,11.6,15.3,37.7,,,
