id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2980769,CD1,2018-05-01 00:00:00,7.5,10.8,83.5,,,
2980770,BL0,2018-05-01 00:00:00,,,,,,
2980771,GR4,2018-05-01 00:00:00,11.0,8.2,44.4,,,
2980772,MY7,2018-05-01 00:00:00,9.9,16.4,,,,
2980773,HV1,2018-05-01 00:00:00,11.3,17.3,53.1,,,
2980774,GN3,2018-05-01 00:00:00,8.7,16.2,46.1,,,
2980775,GR9,2018-05-01 00:00:00,6.6,13.5,49.1,,,
2980776,LW2,2018-05-01 00:00:00,12.9,16.0,69.1,,,
2980777,GN0,2018-05-01 00:00:00,10.1,13.8,43.7,,,
2980778,KF1,2018-05-01 00:00:00,5.7,9.7,,,,
2980779,CD9,2018-05-01 00:00:00,,,40.5,,,
2980780,CT3,2018-05-01 00:00:00,15.0,14.6,,,,
2980781,CT2,2018-05-01 00:00:00,,,,,,
2980782,BX9,2018-05-01 00:00:00,11.1,,,,,
2980783,BX1,2018-05-01 00:00:00,,15.3,51.0,,,
2980784,TH4,2018-05-01 00:00:00,8.8,18.1,,,,
2980785,ST5,2018-05-01 00:00:00,10.0,14.0,29.3,,,
2980786,RB7,2018-05-01 00:00:00,18.0,14.6,36.2,,,
2980787,TD5,2018-05-01 00:00:00,9.8,,,,,
2980825,CD1,2018-05-01 01:00:00,8.4,11.6,55.1,,,
2980826,BL0,2018-05-01 01:00:00,4.4,12.7,79.4,,,
2980827,GR4,2018-05-01 01:00:00,9.8,7.5,26.8,,,
2980828,MY7,2018-05-01 01:00:00,9.4,14.5,,,,
2980829,HV1,2018-05-01 01:00:00,8.0,12.9,32.7,,,
2980830,GN3,2018-05-01 01:00:00,6.8,12.0,37.4,,,
2980831,GR9,2018-05-01 01:00:00,6.5,11.3,32.4,,,
2980832,LW2,2018-05-01 01:00:00,9.1,11.9,45.9,,,
2980833,GN0,2018-05-01 01:00:00,10.2,10.9,32.0,,,
2980834,KF1,2018-05-01 01:00:00,5.7,9.8,,,,
2980835,CD9,2018-05-01 01:00:00,,,46.0,,,
2980836,CT3,2018-05-01 01:00:00,,11.4,,,,
2980837,CT2,2018-05-01 01:00:00,,,,,,
2980838,BX9,2018-05-01 01:00:00,9.9,,,,,
2980839,BX1,2018-05-01 01:00:00,,14.1,34.4,,,
2980840,TH4,2018-05-01 01:00:00,10.6,17.7,,,,
2980841,ST5,2018-05-01 01:00:00,10.0,18.0,17.9,,,
2980842,RB7,2018-05-01 01:00:00,12.0,14.8,21.2,,,
2980843,TD5,2018-05-01 01:00:00,9.5,,,,,
2980881,CD1,2018-05-01 02:00:00,8.4,11.0,38.0,,,
2980882,BL0,2018-05-01 02:00:00,,,,,,
2980883,GR4,2018-05-01 02:00:00,8.1,5.0,16.8,,,
2980884,MY7,2018-05-01 02:00:00,9.4,15.8,,,,
2980885,HV1,2018-05-01 02:00:00,3.9,9.0,37.5,,,
2980886,GN3,2018-05-01 02:00:00,7.8,10.3,33.5,,,
2980887,GR9,2018-05-01 02:00:00,7.3,10.2,26.3,,,
2980888,LW2,2018-05-01 02:00:00,8.2,9.4,33.0,,,
2980889,GN0,2018-05-01 02:00:00,6.8,12.3,28.3,,,
2980890,KF1,2018-05-01 02:00:00,5.6,8.9,,,,
2980891,CD9,2018-05-01 02:00:00,,,55.2,,,
2980892,CT3,2018-05-01 02:00:00,5.0,14.2,,,,
2980893,CT2,2018-05-01 02:00:00,,,,,,
2980894,BX9,2018-05-01 02:00:00,9.4,,,,,
2980895,BX1,2018-05-01 02:00:00,,12.0,26.6,,,
2980896,TH4,2018-05-01 02:00:00,8.5,17.8,,,,
2980897,ST5,2018-05-01 02:00:00,9.0,14.0,18.2,,,
2980898,RB7,2018-05-01 02:00:00,13.0,14.2,19.9,,,
2980899,TD5,2018-05-01 02:00:00,7.8,,,,,
2980937,CD1,2018-05-01 03:00:00,7.6,8.2,35.6,,,
2980938,BL0,2018-05-01 03:00:00,,10.8,49.3,,,
2980939,GR4,2018-05-01 03:00:00,7.3,10.7,11.7,,,
2980940,MY7,2018-05-01 03:00:00,9.8,17.2,,,,
2980941,HV1,2018-05-01 03:00:00,6.4,10.9,42.2,,,
2980942,GN3,2018-05-01 03:00:00,5.8,11.3,26.5,,,
2980943,GR9,2018-05-01 03:00:00,7.4,12.1,37.0,,,
2980944,LW2,2018-05-01 03:00:00,7.1,11.7,39.6,,,
2980945,GN0,2018-05-01 03:00:00,7.1,9.2,23.8,,,
2980946,KF1,2018-05-01 03:00:00,,9.5,,,,
2980947,CD9,2018-05-01 03:00:00,,,60.1,,,
2980948,CT3,2018-05-01 03:00:00,1.0,,,,,
2980949,CT2,2018-05-01 03:00:00,,,,,,
2980950,BX9,2018-05-01 03:00:00,8.2,,,,,
2980951,BX1,2018-05-01 03:00:00,,,21.6,,,
2980952,TH4,2018-05-01 03:00:00,9.1,16.7,,,,
2980953,ST5,2018-05-01 03:00:00,10.0,,18.3,,,
2980954,RB7,2018-05-01 03:00:00,10.0,,17.4,,,
2980955,TD5,2018-05-01 03:00:00,7.2,,,,,
2980993,CD1,2018-05-01 04:00:00,11.8,12.7,58.3,,,
2980994,BL0,2018-05-01 04:00:00,,,,,,
2980995,GR4,2018-05-01 04:00:00,5.9,11.6,17.9,,,
2980996,MY7,2018-05-01 04:00:00,10.7,19.3,,,,
2980997,HV1,2018-05-01 04:00:00,12.7,18.9,53.6,,,
2980998,GN3,2018-05-01 04:00:00,7.8,12.3,36.4,,,
2980999,GR9,2018-05-01 04:00:00,5.7,9.9,32.1,,,
2981000,LW2,2018-05-01 04:00:00,12.7,14.8,78.3,,,
2981001,GN0,2018-05-01 04:00:00,13.6,11.0,30.6,,,
2981002,KF1,2018-05-01 04:00:00,,,,,,
2981003,CD9,2018-05-01 04:00:00,,,64.8,,,
2981004,CT3,2018-05-01 04:00:00,2.0,10.6,,,,
2981005,CT2,2018-05-01 04:00:00,,,,,,
2981006,BX9,2018-05-01 04:00:00,,,,,,
2981007,BX1,2018-05-01 04:00:00,,,,,,
2981008,TH4,2018-05-01 04:00:00,10.6,25.5,,,,
2981009,ST5,2018-05-01 04:00:00,8.0,11.0,23.3,,,
2981010,RB7,2018-05-01 04:00:00,16.0,11.8,34.0,,,
2981011,TD5,2018-05-01 04:00:00,,,,,,
2981049,CD1,2018-05-01 05:00:00,10.8,15.6,64.6,,,
2981050,BL0,2018-05-01 05:00:00,4.7,10.6,44.4,,,
2981051,GR4,2018-05-01 05:00:00,7.8,10.2,,,,
2981052,MY7,2018-05-01 05:00:00,15.7,22.2,,,,
2981053,HV1,2018-05-01 05:00:00,8.9,16.2,66.1,,,
2981054,GN3,2018-05-01 05:00:00,9.2,14.1,39.7,,,
2981055,GR9,2018-05-01 05:00:00,5.9,11.6,35.8,,,
2981056,LW2,2018-05-01 05:00:00,15.8,14.2,56.5,,,
2981057,GN0,2018-05-01 05:00:00,7.3,12.8,38.3,,,
2981058,KF1,2018-05-01 05:00:00,,,,,,
2981059,CD9,2018-05-01 05:00:00,,,87.7,,,
2981060,CT3,2018-05-01 05:00:00,4.0,9.4,,,,
2981061,CT2,2018-05-01 05:00:00,,,,,,
2981062,BX9,2018-05-01 05:00:00,8.2,,,,,
2981063,BX1,2018-05-01 05:00:00,,10.3,35.7,,,
2981064,TH4,2018-05-01 05:00:00,14.0,26.3,,,,
2981065,ST5,2018-05-01 05:00:00,10.0,24.0,47.7,,,
2981066,RB7,2018-05-01 05:00:00,14.0,9.4,47.3,,,
2981067,TD5,2018-05-01 05:00:00,6.4,,,,,
2981105,CD1,2018-05-01 06:00:00,12.3,16.6,57.3,,,
2981106,BL0,2018-05-01 06:00:00,7.9,12.6,52.8,,,
2981107,GR4,2018-05-01 06:00:00,7.1,13.2,31.6,,,
2981108,MY7,2018-05-01 06:00:00,15.0,24.1,,,,
2981109,HV1,2018-05-01 06:00:00,10.2,20.3,63.3,,,
2981110,GN3,2018-05-01 06:00:00,9.5,13.3,47.9,,,
2981111,GR9,2018-05-01 06:00:00,7.0,12.0,37.7,,,
2981112,LW2,2018-05-01 06:00:00,18.3,20.2,68.4,,,
2981113,GN0,2018-05-01 06:00:00,11.7,13.7,41.7,,,
2981114,KF1,2018-05-01 06:00:00,,,,,,
2981115,CD9,2018-05-01 06:00:00,,,105.0,,,
2981116,CT3,2018-05-01 06:00:00,15.0,15.6,,,,
2981117,CT2,2018-05-01 06:00:00,,,,,,
2981118,BX9,2018-05-01 06:00:00,9.0,,,,,
2981119,BX1,2018-05-01 06:00:00,,11.0,36.1,,,
2981120,TH4,2018-05-01 06:00:00,17.5,31.5,85.2,,,
2981121,ST5,2018-05-01 06:00:00,10.0,55.0,51.9,,,
2981122,RB7,2018-05-01 06:00:00,17.0,16.0,56.8,,,
2981123,TD5,2018-05-01 06:00:00,8.4,,,,,
2981161,CD1,2018-05-01 07:00:00,13.5,25.9,60.5,,,
2981162,BL0,2018-05-01 07:00:00,8.3,16.2,67.3,,,
2981163,GR4,2018-05-01 07:00:00,5.3,19.9,31.7,,,
2981164,MY7,2018-05-01 07:00:00,17.1,29.6,,,,
2981165,HV1,2018-05-01 07:00:00,14.6,27.7,59.4,,,
