id,station_id,time,weather,temperature,pressure,humidity,wind_direction,wind_speed
2751028,london_grid_000,2018-04-21 00:00:00,CLEAR_DAY,13.68,1022.043,88.0,40.52,9.46
2751029,london_grid_001,2018-04-21 00:00:00,CLEAR_DAY,13.57,1021.0766,90.0,37.59,9.68
2751030,london_grid_002,2018-04-21 00:00:00,CLEAR_DAY,13.46,1020.1102,92.0,34.8,9.91
2751031,london_grid_003,2018-04-21 00:00:00,CLEAR_DAY,13.19,1017.5182,93.0,33.97,9.87
2751032,london_grid_004,2018-04-21 00:00:00,CLEAR_DAY,12.76,1013.3006,94.0,35.06,9.52
2751033,london_grid_005,2018-04-21 00:00:00,CLEAR_DAY,12.33,1009.083,94.0,36.23,9.18
2751034,london_grid_006,2018-04-21 00:00:00,CLEAR_DAY,12.13,1008.507,93.0,41.79,9.01
2751035,london_grid_007,2018-04-21 00:00:00,CLEAR_DAY,11.92,1007.931,92.0,47.52,8.92
2751036,london_grid_008,2018-04-21 00:00:00,CLEAR_DAY,11.73,1008.3662,92.0,51.21,8.99
2751037,london_grid_009,2018-04-21 00:00:00,CLEAR_DAY,11.54,1009.8127,92.0,52.78,9.14
2751038,london_grid_010,2018-04-21 00:00:00,CLEAR_DAY,11.36,1011.2591,92.0,54.29,9.3
2751039,london_grid_011,2018-04-21 00:00:00,CLEAR_DAY,10.94,1009.3582,92.0,51.9,9.45
2751040,london_grid_012,2018-04-21 00:00:00,CLEAR_DAY,10.53,1007.4574,92.0,49.58,9.62
2751041,london_grid_013,2018-04-21 00:00:00,CLEAR_DAY,10.26,1007.195,90.0,47.23,9.66
2751042,london_grid_014,2018-04-21 00:00:00,CLEAR_DAY,10.13,1008.571,86.0,44.76,9.58
2751043,london_grid_015,2018-04-21 00:00:00,CLEAR_DAY,10.01,1009.947,83.0,42.24,9.52
2751044,london_grid_016,2018-04-21 00:00:00,CLEAR_DAY,10.1,1011.1182,78.0,37.81,9.76
2751045,london_grid_017,2018-04-21 00:00:00,CLEAR_DAY,10.19,1012.2895,73.0,33.61,10.05
2751046,london_grid_018,2018-04-21 00:00:00,CLEAR_DAY,10.52,1011.6015,67.0,30.49,9.92
2751047,london_grid_019,2018-04-21 00:00:00,CLEAR_DAY,11.09,1009.0542,61.0,28.05,9.32
2751048,london_grid_020,2018-04-21 00:00:00,CLEAR_DAY,11.65,1006.507,55.0,25.27,8.75
2751049,london_grid_021,2018-04-21 00:00:00,CLEAR_DAY,13.64,1022.1519,88.0,42.57,8.28
2751050,london_grid_022,2018-04-21 00:00:00,CLEAR_DAY,13.61,1021.3083,90.0,39.67,8.78
2751051,london_grid_023,2018-04-21 00:00:00,CLEAR_DAY,13.58,1020.4648,92.0,37.09,9.3
2751052,london_grid_024,2018-04-21 00:00:00,CLEAR_DAY,13.37,1018.2542,93.0,36.24,9.55
2751053,london_grid_025,2018-04-21 00:00:00,CLEAR_DAY,12.99,1014.6766,93.0,36.93,9.51
2751054,london_grid_026,2018-04-21 00:00:00,CLEAR_DAY,12.6,1011.099,94.0,37.62,9.48
2751055,london_grid_027,2018-04-21 00:00:00,CLEAR_DAY,12.32,1009.5963,93.0,42.1,9.41
2751056,london_grid_028,2018-04-21 00:00:00,CLEAR_DAY,12.03,1008.0936,93.0,46.62,9.41
2751057,london_grid_029,2018-04-21 00:00:00,CLEAR_DAY,11.77,1007.7083,92.0,49.66,9.43
2751058,london_grid_030,2018-04-21 00:00:00,CLEAR_DAY,11.52,1008.4405,92.0,51.23,9.46
2751059,london_grid_031,2018-04-21 00:00:00,CLEAR_DAY,11.28,1009.1727,92.0,52.79,9.5
